"Name"|"Age"|"Class.Dept"|"Ticket"|"Fare"|"Group"|"Ship"|"Joined"|"Job"|"Boat"|"Body"
"1212"|"CHIP, Mr Chang"|"32"|"3rd Class"|"1601"|"£56 9s 11d"|NA|NA|"Southampton"|"Seaman"|"C"|NA
"1213"|"CHRISTMANN, Mr Emil"|"29"|"3rd Class"|"343276"|"£8 1s "|NA|NA|"Southampton"|"Clerk"|""|NA
"1214"|"CHRONOPOULOS, Mr Apostolos M."|"26"|"3rd Class"|"2680"|"£14 9s 1d"|NA|NA|"Cherbourg"|"General Labourer"|""|NA
"1215"|"CHRONOPOULOS, Mr Dimitrios M."|"21"|"3rd Class"|"2680"|"£14 9s 1d"|NA|NA|"Cherbourg"|"General Labourer"|""|NA
"1216"|"COELHO, Mr Domingos Fernandeo"|"20"|"3rd Class"|"3101307"|"£7 1s "|NA|NA|"Southampton"|"General Labourer"|""|NA
"1217"|"COHEN, Mr Gurshon \"Gus\""|"18"|"3rd Class"|"3540"|"£8 1s "|NA|NA|"Southampton"|"Printer / Compositor"|"12"|NA
"1218"|"COLBERT, Mr Patrick"|"24"|"3rd Class"|"371109"|"£7 5s "|NA|NA|"Queenstown"|"General Labourer"|""|NA
"1219"|"COLEFF, Mr Satio"|"24"|"3rd Class"|"349209"|"£7 17s 11d"|NA|NA|"Southampton"|"General Labourer"|""|NA
"1220"|"COLTCHEFF, Mr Peju"|"36"|"3rd Class"|"349210"|"£7 17s 11d"|NA|NA|"Southampton"|"General Labourer"|""|NA
"1221"|"CONLON, Mr Thomas Henry"|"31"|"3rd Class"|"21332"|"£7 14s 8d"|NA|NA|"Queenstown"|"General Labourer"|""|NA
"1222"|"CONNAGHTON, Mr Michael"|"31"|"3rd Class"|"335097"|"£7 15s "|NA|NA|"Queenstown"|"Farm Labourer"|""|NA
"1223"|"CONNOLLY, Miss Kate"|"23"|"3rd Class"|"370373"|"£7 15s "|NA|NA|"Queenstown"|""|"13"|NA
"1224"|"CONNOLLY, Miss Kate"|"35"|"3rd Class"|"330972"|"£7 12s 7d"|NA|NA|"Queenstown"|""|""|NA
"1225"|"CONNORS, Mr Patrick"|"66"|"3rd Class"|"370369"|"£7 15s "|NA|NA|"Queenstown"|"Farm Labourer"|""|171
"1226"|"COOK, Mr Jacob"|"43"|"3rd Class"|"3536"|"£8 1s "|NA|NA|"Southampton"|"Wood Carver"|""|NA
"1227"|"COR, Mr Bartol"|"35"|"3rd Class"|"349230"|"£7 17s 11d"|NA|NA|"Southampton"|"General Labourer"|""|NA
"1228"|"COR, Mr Ivan"|"27"|"3rd Class"|"349229"|"£7 17s 11d"|NA|NA|"Southampton"|"General Labourer"|""|NA
"1229"|"COR, Mr Liudevit"|"19"|"3rd Class"|"349231"|"£7 17s 11d"|NA|NA|"Southampton"|"General Labourer"|""|NA
"1230"|"CORN, Mr Harry"|"30"|"3rd Class"|"392090"|"£8 1s "|NA|NA|"Southampton"|"Upholsterer"|""|NA
"1231"|"CORR, Miss Helen"|"16"|"3rd Class"|"367231"|"£7 15s "|NA|NA|"Queenstown"|""|"16"|NA
"1232"|"COUTTS, Mrs Winnie \"Minnie\""|"36"|"3rd Class"|"37671"|"£15 18s "|NA|NA|"Southampton"|""|"2"|NA
"1233"|"COUTTS, Master William Loch \"Willie\""|"9"|"3rd Class"|"37671"|"£15 18s "|NA|NA|"Southampton"|""|"2"|NA
"1234"|"COUTTS, Master Neville Leslie"|"3"|"3rd Class"|"37671"|"£15 18s "|NA|NA|"Southampton"|""|"2"|NA
"1235"|"COXON, Mr Daniel"|"59"|"3rd Class"|"364500"|"£7 5s "|NA|NA|"Southampton"|"Dealer"|""|NA
"1236"|"CREASE, Mr Ernest James"|"19"|"3rd Class"|"3464"|"£8 3s 2d"|NA|NA|"Southampton"|"Tinsmith"|""|NA
"1237"|"CRIBB, Mr John Hatfield"|"44"|"3rd Class"|"371362"|"£16 2s "|NA|NA|"Southampton"|"Butler"|""|NA
"1238"|"CRIBB, Miss Laura Mae"|"16"|"3rd Class"|"371362"|"£16 2s "|NA|NA|"Southampton"|"Shop Assistant"|"12"|NA
"1239"|"CULUMOVIC, Mr Jeso"|"17"|"3rd Class"|"315090"|"£8 13s 3d"|NA|NA|"Southampton"|""|""|NA
"1240"|"DAHER, Mr Tannous"|"28"|"3rd Class"|"2686"|"£7 4s 7d"|NA|NA|"Cherbourg"|""|""|NA
"1241"|"DAHL, Mr Charles Edward"|"45"|"3rd Class"|"7598"|"£8 1s "|NA|NA|"Southampton"|"Carpenter / Joiner"|"15"|NA
"1242"|"DAHLBERG, Miss Gerda Ulrika"|"22"|"3rd Class"|"7552"|"£10 10s 4d"|NA|NA|"Southampton"|""|""|NA
"1243"|"DAKIC, Mr Branko"|"19"|"3rd Class"|"349228"|"£10 3s 5d"|NA|NA|"Southampton"|"General Labourer"|""|NA
"1244"|"DALY, Miss Margaret Marcella \"Maggie\""|"30"|"3rd Class"|"382650"|"£6 19s "|NA|NA|"Queenstown"|"Housekeeper"|"15"|NA
"1245"|"DALY, Mr Eugene Patrick"|"29"|"3rd Class"|"382651"|"£7 15s "|NA|NA|"Queenstown"|"Farm Labourer"|"B"|NA
"1246"|"DANBOM, Mr Ernst Gilbert"|"34"|"3rd Class"|"347080"|"£14 8s "|NA|NA|"Southampton"|"General Labourer"|""|197
"1247"|"DANBOM, Mrs Anna Sigrid Maria"|"28"|"3rd Class"|"347080"|"£14 8s "|NA|NA|"Southampton"|""|""|NA
"1248"|"DANBOM, Master Gilbert Sigvard Emanuel"|"4m"|"3rd Class"|"347080"|"£14 8s "|NA|NA|"Southampton"|""|""|NA
"1249"|"DANOFF, Mr Yoto"|"27"|"3rd Class"|"349219"|"£7 17s 11d"|NA|NA|"Southampton"|"General Labourer"|""|NA
"1250"|"DANTCHEFF, Mr Ristiu"|"25"|"3rd Class"|"349203"|"£7 17s 11d"|NA|NA|"Southampton"|"General Labourer"|""|NA
"1251"|"DAVIES, Mr Evan"|"22"|"3rd Class"|"23568"|"£8 1s "|NA|NA|"Southampton"|"Miner"|""|NA
"1252"|"DAVIES, Mr Alfred J."|"24"|"3rd Class"|"48871"|"£24 3s "|NA|NA|"Southampton"|"Caster"|""|NA
"1253"|"DAVIES, Mr John Samuel"|"21"|"3rd Class"|"48871"|"£24 3s "|NA|NA|"Southampton"|"Ironworker"|""|NA
"1254"|"DAVIES, Mr Joseph"|"17"|"3rd Class"|"48873"|"£8 1s "|NA|NA|"Southampton"|"Ironworker"|""|NA
"1255"|"DAVISON, Mr Thomas Henry"|"32"|"3rd Class"|"386525"|"£16 2s "|NA|NA|"Southampton"|"Blacksmith"|""|NA
"1256"|"DAVISON, Mrs Mary E."|"34"|"3rd Class"|"386525"|"£16 2s "|NA|NA|"Southampton"|""|"16"|NA
"1257"|"DE MESSEMAEKER, Mr Guillaume Joseph"|"36"|"3rd Class"|"345572"|"£17 8s "|NA|NA|"Southampton"|""|"15"|NA
"1258"|"DE MESSEMAEKER, Mrs Anna"|"36"|"3rd Class"|"345572"|"£17 8s "|NA|NA|"Southampton"|""|"13"|NA
"1259"|"DE MULDER, Mr Theodoor"|"30"|"3rd Class"|"345774"|"£9 10s "|NA|NA|"Southampton"|""|"11"|NA
"1260"|"DE PELSMAEKER, Mr Alfons"|"16"|"3rd Class"|"345778"|"£9 10s "|NA|NA|"Southampton"|"Farm Labourer"|""|NA
"1261"|"DEAN, Mr Bertram Frank"|"25"|"3rd Class"|"2315"|"£20 11s 6d"|NA|NA|"Southampton"|"Farmer"|""|NA
"1262"|"DEAN, Mrs Eva Georgetta"|"32"|"3rd Class"|"2315"|"£20 11s 6d"|NA|NA|"Southampton"|""|"10"|NA
"1263"|"DEAN, Master Bertram Vere"|"1"|"3rd Class"|"2315"|"£20 11s 6d"|NA|NA|"Southampton"|""|"10"|NA
"1264"|"DEAN, Miss Elizabeth Gladys 'Millvina'"|"2m"|"3rd Class"|"2315"|"£20 11s 6d"|NA|NA|"Southampton"|""|"10"|NA
"1265"|"DELALIC, Mr Redjo"|"25"|"3rd Class"|"349250"|"£7 17s 11d"|NA|NA|"Southampton"|"General Labourer"|""|NA
"1266"|"DENKOFF, Mr Mitto"|"30"|"3rd Class"|"349225"|"£7 17s 11d"|NA|NA|"Southampton"|"General Labourer"|""|NA
"1267"|"DENNIS, Mr Samuel"|"22"|"3rd Class"|"21172"|"£7 5s "|NA|NA|"Southampton"|"Farmer"|""|NA
"1268"|"DENNIS, Mr William"|"26"|"3rd Class"|"21175"|"£7 5s "|NA|NA|"Southampton"|"Farmer"|""|NA
"1269"|"DEVANEY, Miss Margaret Delia"|"19"|"3rd Class"|"330958"|"£7 17s 7d"|NA|NA|"Queenstown"|""|"C"|NA
"1270"|"DIKA, Mr Mirko"|"17"|"3rd Class"|"349232"|"£7 17s 11d"|NA|NA|"Southampton"|""|""|NA
"1271"|"DIMIC, Mr Jovan"|"42"|"3rd Class"|"315088"|"£8 13s 3d"|NA|NA|"Southampton"|""|""|NA
"1272"|"DINTCHEFF, Mr Valtcho"|"43"|"3rd Class"|"349226"|"£7 17s 11d"|NA|NA|"Southampton"|""|""|NA
"1273"|"DONOHOE, Miss Bridget"|"21"|"3rd Class"|"364856"|"£7 15s "|NA|NA|"Queenstown"|""|""|NA
"1274"|"DOOLEY, Mr Patrick"|"38"|"3rd Class"|"370376"|"£7 15s "|NA|NA|"Queenstown"|"General Labourer"|""|NA
"1275"|"DORKING, Mr Edward Arthur"|"18"|"3rd Class"|"10482"|"£8 1s "|NA|NA|"Southampton"|"Groom"|"B"|NA
"1276"|"DOUGHERTY, Mr William John"|"22"|"3rd Class"|"330877"|"£8 9s 2d"|NA|NA|"Queenstown"|""|""|NA
"1277"|"DOWDELL, Miss Elizabeth"|"31"|"3rd Class"|"364516"|"£12 9s 6d"|NA|NA|"Southampton"|"Housekeeper"|"13"|NA
"1278"|"DOYLE, Miss Elizabeth"|"24"|"3rd Class"|"368702"|"£7 15s "|NA|NA|"Queenstown"|""|""|NA
"1279"|"DRAZENOVIC, Mr Jozef"|"33"|"3rd Class"|"349241"|"£7 17s 11d"|NA|NA|"Cherbourg"|"General Labourer"|""|51
"1280"|"DROPKIN, Miss Jennie"|"24"|"3rd Class"|"392083"|"£8 1s "|NA|NA|"Southampton"|"Box Maker"|""|NA
"1281"|"DUQUEMIN, Mr Joseph Pierre"|"19"|"3rd Class"|"752"|"£7 11s "|NA|NA|"Southampton"|"Mason"|"D"|NA
"1282"|"DWAN, Mr Frank"|"65"|"3rd Class"|"336439"|"£7 15s "|NA|NA|"Queenstown"|"Farm Labourer"|""|NA
"1283"|"DYKER, Mr Adolf Fredrik"|"23"|"3rd Class"|"347072"|"£13 18s "|NA|NA|"Southampton"|"General Labourer"|""|NA
"1284"|"DYKER, Mrs Anna Elisabeth Judith"|"22"|"3rd Class"|"347072"|"£13 18s "|NA|NA|"Southampton"|""|"16"|NA
"1285"|"EDVARDSSON, Mr Gustaf Hjalmar"|"18"|"3rd Class"|"349912"|"£7 15s 6d"|NA|NA|"Southampton"|"General Labourer"|""|NA
"1286"|"EKLUND, Mr Hans Linus"|"16"|"3rd Class"|"347074"|"£7 15s 6d"|NA|NA|"Southampton"|"General Labourer"|""|NA
"1287"|"EKSTRöM, Mr Johan"|"45"|"3rd Class"|"347061"|"£6 19s 6d"|NA|NA|"Southampton"|"General Labourer"|""|NA
"1288"|"ELIAS, Mr Dibo"|"29"|"3rd Class"|"2674"|"£7 4s 6d"|NA|NA|"Cherbourg"|"General Labourer"|""|NA
"1289"|"ELIAS, Mr Joseph jr."|"15"|"3rd Class"|"2690"|"£7 4s 7d"|NA|NA|"Cherbourg"|"General Labourer"|""|NA
"1290"|"ELIAS NASRALLAH, Mr Tannous"|"22"|"3rd Class"|"2695"|"£7 4s 7d"|NA|NA|"Cherbourg"|"General Labourer"|""|NA
"1291"|"ELSBURY, Mr William James"|"47"|"3rd Class"|"3902"|"£7 5s "|NA|NA|"Southampton"|"Farmer"|""|NA
"1292"|"EMANUEL, Miss Virginia Ethel"|"5"|"3rd Class"|"364516"|"£12 9s 6d"|NA|NA|"Southampton"|""|"13"|NA
"1293"|"ESTANISLAU, Mr Manuel Gonçalves"|"37"|"3rd Class"|"3101306"|"£7 1s "|NA|NA|"Southampton"|"General Labourer"|""|NA
"1294"|"EVERETT, Mr Thomas James"|"39"|"3rd Class"|"6212"|"£15 2s "|NA|NA|"Southampton"|"Crane Operator"|""|187
"1295"|"FARRELL, Mr James \"Jim\""|"25"|"3rd Class"|"367232"|"£7 15s "|NA|NA|"Queenstown"|"Farm Labourer"|""|68
"1296"|"FINOLI, Mr Luigi"|"34"|"3rd Class"|"3101308"|"£7 1s "|NA|NA|"Southampton"|""|"15"|NA
"1297"|"FISCHER, Mr Eberhard Thelander"|"18"|"3rd Class"|"350036"|"£7 15s 11d"|NA|NA|"Southampton"|""|""|NA
"1298"|"FLEMING, Miss Honora"|"22"|"3rd Class"|"364859"|"£7 15s "|NA|NA|"Queenstown"|""|""|NA
"1299"|"FLYNN, Mr James"|"28"|"3rd Class"|"364851"|"£7 15s "|NA|NA|"Queenstown"|"General Labourer"|""|NA
"1300"|"FLYNN, Mr John"|"42"|"3rd Class"|"368323"|"£6 19s "|NA|NA|"Queenstown"|"Farm Labourer"|""|NA
"1301"|"FOLEY, Mr Joseph"|"19"|"3rd Class"|"330910"|"£7 17s 7d"|NA|NA|"Queenstown"|"Farm Labourer"|""|NA
"1302"|"FOLEY, Mr William"|"20"|"3rd Class"|"365235"|"£7 15s "|NA|NA|"Queenstown"|"Farm Labourer"|""|NA
"1303"|"FOO, Mr Choong"|"32"|"3rd Class"|"1601"|"£56 9s 11d"|NA|NA|"Southampton"|"Seaman"|"13"|NA
"1304"|"FORD, Mr Arthur"|"22"|"3rd Class"|"1478"|"£8 1s "|NA|NA|"Southampton"|"Carpenter / Joiner"|""|NA
"1305"|"FORD, Mrs Margaret Ann Watson"|"48"|"3rd Class"|"6608"|"£34 7s 6d"|NA|NA|"Southampton"|"Farmer"|""|NA
"1306"|"FORD, Miss Dollina Margaret"|"20"|"3rd Class"|"6608"|"£34 7s 6d"|NA|NA|"Southampton"|"Servant"|""|NA
"1307"|"FORD, Mr Edward Watson"|"18"|"3rd Class"|"6608"|"£34 7s 6d"|NA|NA|"Southampton"|"Blacksmith"|""|NA
"1308"|"FORD, Mr William Neal Thomas"|"16"|"3rd Class"|"6608"|"£34 7s 6d"|NA|NA|"Southampton"|"Messenger"|""|NA
"1309"|"FORD, Miss Robina Maggie"|"7"|"3rd Class"|"6608"|"£34 7s 6d"|NA|NA|"Southampton"|""|""|NA
"1310"|"FOX, Mr Patrick"|"28"|"3rd Class"|"368573"|"£7 15s "|NA|NA|"Queenstown"|"General Labourer"|""|NA
"1311"|"FRANKLIN, Mr Charles (\"Charles Fardon\")"|"38"|"3rd Class"|"3101314"|"£7 5s "|NA|NA|"Southampton"|"Carpenter / Joiner"|""|NA
"1312"|"GALLAGHER, Mr Martin"|"29"|"3rd Class"|"36864"|"£7 14s 10d"|NA|NA|"Queenstown"|"Farm Labourer"|""|NA
"1313"|"GARFIRTH, Mr John"|"21"|"3rd Class"|"358585"|"£14 10s "|NA|NA|"Southampton"|"Shoemaker"|""|NA
"1314"|"GEORGE/JOSEPH, Mrs Shawneene"|"38"|"3rd Class"|"2688"|"£7 4s 7d"|NA|NA|"Cherbourg"|""|"C"|NA
"1315"|"GERIOS THAMAH, Mr Assaf"|"21"|"3rd Class"|"2692"|"£7 4s 6d"|NA|NA|"Cherbourg"|"Farm Labourer"|""|NA
"1316"|"GHEORGHEFF, Mr Stanio"|""|"3rd Class"|"349254"|"£7 17s 11d"|NA|NA|"Cherbourg"|"General Labourer"|""|NA
"1317"|"GILINSKI, Mr Eliezer"|"22"|"3rd Class"|"14973"|"£8 1s "|NA|NA|"Southampton"|"Locksmith"|""|47
"1318"|"GILNAGH, Miss Mary Katherine \"Katie\""|"17"|"3rd Class"|"35851"|"£7 14s 8d"|NA|NA|"Queenstown"|""|"16"|NA
"1319"|"GLYNN, Miss Mary Agatha"|"19"|"3rd Class"|"335677"|"£7 15s "|NA|NA|"Queenstown"|""|"13"|NA
"1320"|"GOLDSMITH, Mr Frank John"|"33"|"3rd Class"|"363291"|"£20 10s 6d"|NA|NA|"Southampton"|"Turner"|""|NA
"1321"|"GOLDSMITH, Mrs Emily Alice"|"31"|"3rd Class"|"363291"|"£20 10s 6d"|NA|NA|"Southampton"|""|"C"|NA
"1322"|"GOLDSMITH, Master Frank John William"|"9"|"3rd Class"|"363291"|"£20 10s 6d"|NA|NA|"Southampton"|""|"C"|NA
"1323"|"GOLDSMITH, Mr Nathan"|"41"|"3rd Class"|"3101263"|"£7 17s "|NA|NA|"Southampton"|"Shoemaker"|""|NA
"1324"|"GOODWIN, Mr Frederick Joseph"|"42"|"3rd Class"|"2144"|"£46 18s "|NA|NA|"Southampton"|"Engineer"|""|NA
"1325"|"GOODWIN, Mrs Augusta"|"43"|"3rd Class"|"2144"|"£46 18s "|NA|NA|"Southampton"|""|""|NA
"1326"|"GOODWIN, Miss Lillian Amy"|"16"|"3rd Class"|"2144"|"£46 18s "|NA|NA|"Southampton"|"Servant"|""|NA
"1327"|"GOODWIN, Mr Charles Edward"|"14"|"3rd Class"|"2144"|"£46 18s "|NA|NA|"Southampton"|"Scholar"|""|NA
"1328"|"GOODWIN, Master William Frederick"|"11"|"3rd Class"|"2144"|"£46 18s "|NA|NA|"Southampton"|""|""|NA
"1329"|"GOODWIN, Miss Jessie Allis"|"10"|"3rd Class"|"2144"|"£46 18s "|NA|NA|"Southampton"|""|""|NA
"1330"|"GOODWIN, Master Harold Victor"|"9"|"3rd Class"|"2144"|"£46 18s "|NA|NA|"Southampton"|""|""|NA
"1331"|"GOODWIN, Master Sidney Leslie"|"1"|"3rd Class"|"2144"|"£46 18s "|NA|NA|"Southampton"|""|""|4
"1332"|"GREEN, Mr George Henry"|"40"|"3rd Class"|"21440"|"£8 1s "|NA|NA|"Southampton"|"Farrier"|""|NA
"1333"|"GRøNNESTAD, Mr Daniel Danielsen"|"32"|"3rd Class"|"8471"|"£8 6s 15d"|NA|NA|"Southampton"|"General Labourer"|""|NA
"1334"|"GUEST, Mr Robert"|"23"|"3rd Class"|"376563"|"£8 1s "|NA|NA|"Southampton"|"General Labourer"|""|NA
"1335"|"GUSTAFSSON, Mr Karl Gideon"|"19"|"3rd Class"|"347069"|"£7 15s 6d"|NA|NA|"Southampton"|"General Labourer"|""|NA
"1336"|"GUSTAFSSON, Mr Alfred Ossian"|"19"|"3rd Class"|"7534"|"£9 16s 11d"|NA|NA|"Southampton"|"General Labourer"|""|NA
"1337"|"GUSTAFSSON, Mr Anders Vilhelm"|"37"|"3rd Class"|"3101276"|"£7 18s 6d"|NA|NA|"Southampton"|"General Labourer"|""|98
"1338"|"GUSTAFSSON, Mr Johan Birger"|"28"|"3rd Class"|"3101277"|"£7 18s 6d"|NA|NA|"Southampton"|""|""|NA
"1339"|"HAAS, Miss Aloisia"|"24"|"3rd Class"|"349236"|"£8 17s "|NA|NA|"Southampton"|"General Labourer"|""|NA
"1340"|"HAGLAND, Mr Ingvald Olai Olsen"|"28"|"3rd Class"|"65303"|"£6 19s 4d"|NA|NA|"Southampton"|"General Labourer"|""|NA
"1341"|"HAGLAND, Mr Konrad Mathias Reiersen"|"19"|"3rd Class"|"65304"|"£6 19s 4d"|NA|NA|"Southampton"|"General Labourer"|""|NA
"1342"|"HAKKARAINEN, Mr Pekka Pietari"|"28"|"3rd Class"|"3101279"|"£15 17s "|NA|NA|"Southampton"|"General Labourer"|""|NA
"1343"|"HAKKARAINEN, Mrs Elin Matilda"|"24"|"3rd Class"|"3101279"|"£15 17s "|NA|NA|"Southampton"|""|"15"|NA
"1344"|"HAMPE, Mr Léon Jérome"|"19"|"3rd Class"|"345769"|"£9 10s "|NA|NA|"Southampton"|"Painter & Decorator"|""|NA
"1345"|"HANNA, Mr Boulos"|"18"|"3rd Class"|"2664"|"£7 4s 6d"|NA|NA|"Cherbourg"|"General Labourer"|""|NA
"1346"|"HANNA, Mr Mansour"|"35"|"3rd Class"|"2693"|"£7 4s 7d"|NA|NA|"Cherbourg"|""|""|188
"1347"|"HANNAH, Mr Borak (\"Hannah Assi Borah\")"|"27"|"3rd Class"|"2663"|"£7 4s 7d"|NA|NA|"Cherbourg"|""|"15"|NA
"1348"|"HANSEN, Mr Claus Peter"|"41"|"3rd Class"|"350026"|"£14 2s 2d"|NA|NA|"Southampton"|"Barber"|""|NA
"1349"|"HANSEN, Mrs Jennie Louise"|"45"|"3rd Class"|"350026"|"£14 2s 2d"|NA|NA|"Southampton"|""|"11"|NA
"1350"|"HANSEN, Mr Henry Damsgaard"|"21"|"3rd Class"|"350029"|"£7 17s 1d"|NA|NA|"Southampton"|"Manufacturer"|""|69
"1351"|"HANSEN, Mr Henrik Juul"|"26"|"3rd Class"|"350025"|"£7 17s 1d"|NA|NA|"Southampton"|"Farmer"|""|NA
"1352"|"HARGADON, Miss Catherine \"Kate\""|"17"|"3rd Class"|"30631"|"£7 14s 8d"|NA|NA|"Queenstown"|""|""|NA
"1353"|"HARKNETT, Miss Alice Phoebe"|"21"|"3rd Class"|"6609"|"£7 11s "|NA|NA|"Southampton"|"Servant"|""|NA
"1354"|"HART, Mr Henry"|"28"|"3rd Class"|"394140"|"£6 17s 2d"|NA|NA|"Queenstown"|"General Labourer"|""|NA
"1355"|"HASSAN ABILMONA, Mr Houssein Mohamed"|"11"|"3rd Class"|"2699"|"£18 15s 9d"|NA|NA|"Cherbourg"|""|""|NA
"1356"|"HEALY, Miss Hanora \"Nora\""|"29"|"3rd Class"|"370375"|"£7 15s "|NA|NA|"Queenstown"|""|"16"|NA
"1357"|"HEDMAN, Mr Oskar Arvid"|"27"|"3rd Class"|"347089"|"£6 19s 6d"|NA|NA|"Southampton"|"Settler Recruiter"|"15"|NA
"1358"|"HEE, Mr Ling"|"24"|"3rd Class"|"1601"|"£56 9s 11d"|NA|NA|"Southampton"|"Seaman"|"C"|NA
"1359"|"HEGARTY, Miss Hanora \"Nora\""|"18"|"3rd Class"|"365226"|"£6 15s "|NA|NA|"Queenstown"|""|""|NA
"1360"|"HEIKKINEN, Miss Laina"|"26"|"3rd Class"|"3101282"|"£7 18s 6d"|NA|NA|"Southampton"|""|""|NA
"1361"|"HEININEN, Miss Wendla Maria"|"23"|"3rd Class"|"3101290"|"£7 18s 6d"|NA|NA|"Southampton"|"Servant"|""|8
"1362"|"HELLSTRöM, Miss Hilda Maria"|"22"|"3rd Class"|"7548"|"£8 19s 3d"|NA|NA|"Southampton"|""|"C"|NA
"1363"|"HENDEKOVIC, Mr Ignjac"|"28"|"3rd Class"|"349243"|"£7 17s 11d"|NA|NA|"Southampton"|"General Labourer"|""|306
"1364"|"HENRIKSSON, Miss Jenny Lovisa"|"28"|"3rd Class"|"347086"|"£7 15s 6d"|NA|NA|"Southampton"|"Servant"|""|3
"1365"|"HENRY, Miss Bridget Delia"|"21"|"3rd Class"|"382649"|"£7 15s "|NA|NA|"Queenstown"|""|""|NA
"1366"|"HIRVONEN, Mrs Helga Elisabeth Lindqvist"|"22"|"3rd Class"|"3101298"|"£12 5s 9d"|NA|NA|"Southampton"|""|"15"|NA
"1367"|"HIRVONEN, Miss Hildur Elisabeth"|"2"|"3rd Class"|"3101298"|"£12 5s 9d"|NA|NA|"Southampton"|""|"15"|NA
"1368"|"HOLM, Mr John Fredrik Alexander"|"43"|"3rd Class"|"7075"|"£6 9s "|NA|NA|"Southampton"|"Farmer"|""|NA
"1369"|"HOLTHEN, Mr Johan Martin"|"28"|"3rd Class"|"4001"|"£22 10s 6d"|NA|NA|"Southampton"|"Seaman"|""|NA
"1370"|"HONKANEN, Miss Eliina"|"27"|"3rd Class"|"3101283"|"£7 18s 6d"|NA|NA|"Southampton"|""|""|NA
"1371"|"HORGAN, Mr John"|"22"|"3rd Class"|"370377"|"£7 15s "|NA|NA|"Queenstown"|"General Labourer"|""|NA
"1372"|"HOWARD, Miss May Elizabeth"|"27"|"3rd Class"|"39186"|"£8 1s "|NA|NA|"Southampton"|"Laundry Worker"|"C"|NA
"1373"|"HUMBLEN, Mr Adolf Mathias Nicolai Olsen"|"42"|"3rd Class"|"348121"|"£7 13s "|NA|NA|"Southampton"|"Farmer"|""|120
"1374"|"HYMAN, Mr Abraham Joseph"|"34"|"3rd Class"|"3470"|"£7 17s 9d"|NA|NA|"Southampton"|"Framer"|"C"|NA
"1375"|"IBRAHIM SHAWAH, Mr Yousseff"|"33"|"3rd Class"|"2627"|"£14 9s 2d"|NA|NA|"Cherbourg"|""|""|NA
"1376"|"ILIEFF, Mr Ylio"|"32"|"3rd Class"|"349220"|"£7 17s 11d"|NA|NA|"Southampton"|"General Labourer"|""|NA
"1377"|"ILMAKANGAS, Miss Ida Livija"|"27"|"3rd Class"|"3101270"|"£7 18s 6d"|NA|NA|"Southampton"|"Servant"|""|NA
"1378"|"ILMAKANGAS, Miss Pieta Sofia"|"25"|"3rd Class"|"3101271"|"£7 18s 6d"|NA|NA|"Southampton"|"Servant"|""|NA
"1379"|"IVANOFF, Mr Kanio"|"20"|"3rd Class"|"349201"|"£7 17s 11d"|NA|NA|"Southampton"|"General Labourer"|""|NA
"1380"|"JABBUR (ZABOUR), Miss Thamine"|"19"|"3rd Class"|"2665"|"£14 9s 1d"|NA|NA|"Cherbourg"|"Housekeeper"|""|NA
"1381"|"JABBUR (ZABOUR), Miss Hileni"|"16"|"3rd Class"|"2665"|"£14 9s 1d"|NA|NA|"Cherbourg"|"Housekeeper"|""|328
"1382"|"JALšEVAC, Mr Ivan"|"29"|"3rd Class"|"349240"|"£7 17s 11d"|NA|NA|"Cherbourg"|""|"15"|NA
"1383"|"JANSSON, Mr Carl Olof"|"21"|"3rd Class"|"350034"|"£7 15s 11d"|NA|NA|"Southampton"|""|"A"|NA
"1384"|"JARDIM, Mr José Neto"|"21"|"3rd Class"|"3101305"|"£7 1s "|NA|NA|"Southampton"|"General Labourer"|""|NA
"1385"|"JENSEN, Mr Hans Peder"|"20"|"3rd Class"|"350050"|"£7 17s 1d"|NA|NA|"Southampton"|""|""|NA
"1386"|"JENSEN, Mr Svend Lauritz"|"17"|"3rd Class"|"350047"|"£7 17s 1d"|NA|NA|"Southampton"|"Farmer"|""|NA
"1387"|"JENSEN, Mr Niels Peder (\"Rasmus\")"|"48"|"3rd Class"|"350048"|"£7 1s 1d"|NA|NA|"Southampton"|"Farmer"|""|NA
"1388"|"JERMYN, Miss Annie Jane"|"26"|"3rd Class"|"14313"|"£7 15s "|NA|NA|"Queenstown"|""|"D"|NA
"1389"|"JOHANNESEN, Mr Bernt Johannes"|"29"|"3rd Class"|"65306"|"£8 2s 3d"|NA|NA|"Southampton"|""|"13"|NA
"1390"|"JOHANSON, Mr Jakob Alfred"|"34"|"3rd Class"|"3101264"|"£6 9s 11d"|NA|NA|"Southampton"|"General Labourer"|""|143
"1391"|"JOHANSSON, Mr Nils"|"29"|"3rd Class"|"347467"|"£7 17s 1d"|NA|NA|"Southampton"|"General Labourer"|""|NA
"1392"|"JOHANSSON, Mr Erik"|"22"|"3rd Class"|"350052"|"£7 15s 11d"|NA|NA|"Southampton"|"General Labourer"|""|156
"1393"|"JOHANSSON, Mr Gustaf Joel"|"33"|"3rd Class"|"7540"|"£8 13s 1d"|NA|NA|"Southampton"|""|""|285
"1394"|"JOHANSSON, Mr Karl Johan"|"31"|"3rd Class"|"347063"|"£7 15s 6d"|NA|NA|"Southampton"|""|""|NA
"1395"|"JOHANSSON PALMQUIST, Mr Oskar Leander"|"26"|"3rd Class"|"347070"|"£7 15s 6d"|NA|NA|"Southampton"|""|"15"|NA
